Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Year,Customer_Month,Customer_Day,Days_As_Customer,Marital_Status_Clean,Education_Level,Total_Spending,Avg_Spending_Per_Category,Spending_Per_Capita,Total_Purchases,Online_Purchase_Ratio,Deal_Purchase_Ratio,Spending_Per_Purchase,Total_Campaigns_Accepted,Campaign_Success_Rate,Has_Accepted_Any_Campaign,Is_Loyal_Responder,CLV_Score,Income_Per_Capita,Spending_to_Income_Ratio,Engagement_Score,Cluster,Cluster_Name
1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,2012,9,4,5004,Single,3,1617,269.5,1617.0,25,0.3076923076923077,0.11538461538461539,62.19230769230769,0,0.0,0,0,577.5,58138.0,2.7812655876434063,2.9661016949152543,2,Ultra Premium
1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,2014,3,8,4454,Single,3,27,4.5,9.0,6,0.14285714285714285,0.2857142857142857,3.857142857142857,0,0.0,0,0,2.219178082191781,15448.0,0.058258711835149427,0.7692307692307693,0,Middle Class Shoppers
1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,2013,8,21,4653,Partnered,3,776,129.33333333333334,776.0,21,0.36363636363636365,0.045454545454545456,35.27272727272727,0,0.0,0,0,262.83870967741933,71613.0,1.0835870081269026,3.111111111111111,1,Premium Spenders
1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,2014,2,10,4480,Partnered,3,53,8.833333333333334,26.5,8,0.2222222222222222,0.2222222222222222,5.888888888888889,0,0.0,0,0,9.86046511627907,13323.0,0.19889668630615076,1.7777777777777777,3,Budget Conscious
1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,2014,1,19,4502,Married,5,422,70.33333333333333,211.0,19,0.25,0.25,21.1,0,0.0,0,0,174.30434782608697,29146.5,0.7239166981164442,1.0,0,Middle Class Shoppers
1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,2013,9,9,4634,Partnered,4,716,119.33333333333333,358.0,22,0.2608695652173913,0.08695652173913043,31.130434782608695,0,0.0,0,0,262.53333333333336,31256.5,1.1453434430687526,7.764705882352941,0,Middle Class Shoppers
1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,2012,11,13,4934,Divorced,3,590,98.33333333333333,295.0,21,0.3181818181818182,0.18181818181818182,26.818181818181817,0,0.0,0,0,221.25,27817.5,1.0604644474800489,3.6,0,Middle Class Shoppers
1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,2013,5,8,4758,Married,5,169,28.166666666666668,84.5,10,0.36363636363636365,0.18181818181818182,15.363636363636363,0,0.0,0,0,40.23809523809524,16727.0,0.5051561799432073,2.4242424242424243,3,Budget Conscious
1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,2013,6,6,4729,Partnered,5,46,7.666666666666667,23.0,6,0.42857142857142855,0.14285714285714285,6.571428571428571,0,0.0,0,0,5.2075471698113205,15175.5,0.15155508697944123,2.7,3,Budget Conscious
1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,2014,3,13,4449,Partnered,5,49,8.166666666666666,16.333333333333332,2,0.3333333333333333,0.3333333333333333,16.333333333333332,1,0.2,1,0,1.2727272727272727,1882.6666666666667,0.8674101610904585,0.5797101449275363,3,Budget Conscious
1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,2013,11,15,4567,Married,3,19,3.1666666666666665,9.5,4,0.2,0.2,3.8,0,0.0,0,0,1.7272727272727273,25690.75,0.03697757018440131,2.3333333333333335,0,Middle Class Shoppers
1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,2012,11,13,4934,Married,1,61,10.166666666666666,61.0,6,0.2857142857142857,0.14285714285714285,8.714285714285714,0,0.0,0,0,7.176470588235294,7500.0,0.8132249033462204,0.8,3,Budget Conscious
1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,2013,11,15,4567,Divorced,3,1102,183.66666666666666,1102.0,16,0.17647058823529413,0.058823529411764705,64.82352941176471,0,0.0,0,0,259.29411764705884,63033.0,1.7482628422755973,0.3855421686746988,1,Premium Spenders
1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,74,2013,11,15,4567,Divorced,4,310,51.666666666666664,103.33333333333333,15,0.375,0.1875,19.375,0,0.0,0,0,62.0,19784.666666666668,0.5222811894532896,1.6666666666666667,0,Middle Class Shoppers
1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,39,2012,10,10,4968,Married,3,46,7.666666666666667,46.0,5,0.16666666666666666,0.16666666666666666,7.666666666666667,0,0.0,0,0,5.75,17323.0,0.26552759178018936,1.0256410256410255,3,Budget Conscious
1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,80,2012,11,24,4923,Single,5,1315,219.16666666666666,1315.0,26,0.25925925925925924,0.037037037037037035,48.7037037037037,2,0.4,1,1,422.0987654320988,82800.0,1.5881450707117064,3.25,2,Ultra Premium
1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,46,2012,12,24,4893,Married,3,96,16.0,32.0,9,0.3,0.3,9.6,0,0.0,0,0,18.382978723404257,13950.0,0.22938519987574968,1.3846153846153846,3,Budget Conscious
